,stockprice,goldprice,silverprice,oilprice,gasprice,newspolarity,polarity_cat
2019-04-01,6.58,15.098999977112,15.098999977112,69.01000213623,2.7079999446869,0.718674042007375,positive
2019-04-02,6.56,15.0609998703,15.0609998703,69.370002746582,2.6840000152588,0.718674042007375,positive
2019-04-03,6.57,15.102000236511,15.102000236511,69.309997558594,2.6770000457764,0.394532279314888,positive
2019-04-04,6.58,15.083999633789,15.083999633789,69.400001525879,2.6429998874664,-0.055468241652452,negative
2019-04-05,6.58,15.086000442505,15.086000442505,70.339996337891,2.6640000343323,0.542161654953737,positive
2019-04-07,6.7,15.088000297546,15.088000297546,70.339996337891,2.6640000343323,0.542161654953737,positive
2019-04-08,6.62,15.215999603271,15.215999603271,71.099998474121,2.7079999446869,0.90396038097069,positive
2019-04-09,6.62,15.211000442505,15.211000442505,70.610000610352,2.6989998817444,-0.001298701298701,negative
2019-04-10,6.61,15.244000434875,15.244000434875,71.730003356934,2.7000000476837,0.342159038572822,positive
2019-04-11,6.6,14.86699962616,14.86699962616,70.830001831055,2.6640000343323,0.73788176329843,positive
2019-04-12,6.6,14.963000297546,14.963000297546,71.550003051758,2.6600000858307,-0.02462107745196,negative
2019-04-14,6.55,14.918000221252,14.918000221252,71.550003051758,2.6600000858307,-0.02462107745196,negative
2019-04-15,6.58,14.97500038147,14.97500038147,71.180000305176,2.5899999141693,0.155179484473215,positive
2019-04-16,6.55,14.914999961853,14.914999961853,71.720001220703,2.5720000267029,0.399912596461509,positive
2019-04-17,6.53,14.9390001297,14.9390001297,71.620002746582,2.5169999599457,-0.068055555555556,negative
2019-04-18,6.58,14.954999923706,14.954999923706,71.970001220703,2.4900000095367,-0.075,negative
2019-04-19,6.58,14.965000152588,14.965000152588,71.970001220703,2.4900000095367,1.04326353250244,positive
2019-04-21,6.65,14.982000350952,14.982000350952,71.970001220703,2.4900000095367,1.04326353250244,positive
2019-04-22,6.66,14.97500038147,14.97500038147,74.040000915527,2.5239999294281,0.738940081082938,positive
2019-04-23,6.71,14.791000366211,14.791000366211,74.51000213623,2.454999923706,0.465871601165719,positive
2019-04-24,6.63,14.916000366211,14.916000366211,74.569999694824,2.4619998931885,0.160370154743295,positive
2019-04-25,6.71,14.878999710083,14.878999710083,74.349998474121,2.5139999389648,0.576776237148786,positive
2019-04-26,6.71,15.005000114441,15.005000114441,72.150001525879,2.5659999847412,0.277600931156966,positive
2019-04-28,6.75,15.012000083923,15.012000083923,72.150001525879,2.5659999847412,0.277600931156966,positive
2019-04-29,6.81,14.843999862671,14.843999862671,72.040000915527,2.5929999351502,0.235709870937144,positive
2019-04-30,6.81,14.89999961853,14.89999961853,72.800003051758,2.5750000476837,0.041020499108734,positive
2019-05-01,6.81,14.645000457764,14.645000457764,72.180000305176,2.6199998855591,0.041020499108734,positive
2019-05-02,6.81,14.607000350952,14.604999542236,70.300003051758,2.5710000991821,0.041020499108734,positive
